"Text_Review"
"✅ Trip Verified | Firstly, they are always late due to their operations issues which makes you miss your transfer. If you are flying with them make sure you have at least 6-7 hours wait at Sabiha Gokce as no matter what they will be late. I flew with them a few times and honestly it’s not worth it. They pretend to be a cheaper airline but again when it comes down to sitting together or adding a luggage it comes out to the same price you will pay for a good airline and trust me it’s not worth it. So much of time wasted and stress. They are pathetic people, lie to you all the time. I flew with them in November and due to some operations problem they were late to take off from Karachi Airport by 2 hours, and I missed my connection because of them in Sabiha Istanbul to London. What they did was gave me another flight for the next day and said they will pay the visa fees and give me a hotel and transfer. They said just write to us and we will refund all the money to you. Pathetic people lied to my face, didn’t gave any compensation at all. Now when I’m writing to them they are like it’s not our fault. Come on shameless rip off airline."
"✅ Trip Verified |  I have always used Pegasus to travel to Turkey and Iran. I am also a member of their BolPoint. I never experience problem with exception of this year 2023. Long delay either ways. In fact my recent return trip from Tehran was awful and very long delay in Tehran, which caused me to lose my connection flight from Istanbul to London, and even my luggage was not put on the flight to London. I must add that the staff of Pegasus, in particular the air crew are wonderful and very helpful."
"✅ Trip Verified |  Due to the war going on at present, and already over a month ago, my flight that was supposed to leave from Tel Aviv on 15 October to Manchester was cancelled.  In the end I had to book an extremely expensive flight (around £400) for a single way, in order to return, as I could not take my Pegasus flight. Pegasus would not refund me for the ticket, despite having cancelled and stated clearly on their website and email that the flight can be refunded but did not keep to their word in any way whatsoever. Additionally, they are barely reachable and a lot of links on their website don't direct anywhere, making it very hard to get through to a live agent for assistance. I highly doubt I will be flying Pegasus again, as this experience proved extremely unreliable."
"✅ Trip Verified | I had the option of EasyJet, SunExpress or Pegasus for this route. All similarly priced. So glad I chose Pegasus. The crew were super friendly, comfortable seats, food was unusually good, included WiFi/entertainment and the flight was on time! Couldn’t ask for more from a budget carrier. Excellent! I flew the return leg with easyJet - the crew were average, seats were tight and the available food was poor."
"✅ Trip Verified | Worst experience ever. I have never written reviews for airlines before, but my experience has been so bad all the way through that now I am doing it. First of all the flight was 3 hours delayed, I had to wait in Istanbul airport (which is one of the worst I've been to in my life). That made me loose my connection in Bruxelles. So I had to buy new tickets from Bruxelles. Since my insurance company needs documentation for the delay I have been calling customer service to get this documentation. I have talked to them 7 times (!) and they have still not been able to give me this basic piece of documentation (which doesn't even cost the airline anything). I have never experienced such bad customer service in my life. The customer service reps also barely speak English."
"✅ Trip Verified |   They have delayed 1 hour, then another 30 minutes and another 30 minutes later. they landed just 15 minutes before my next flight and they did not take any responsibility, no excuses, the representatives are very unprofessional and rude."
"✅ Trip Verified |  The pram of my son arrived damaged after my flight (Ankara to Manchester UK) and is unrepairable as the mechanism is shattered and broken. Made a claim at the airport and also a claim through Pegasus as they requested this with all the footage taken. Came back with an excuse every time and they try everything not to pay me back. It has been nearly 3/4 weeks now and still trying to get away with it while I am not able to go out with my son. Worse customer service I have ever experienced! By law they are fully responsible for any damaged luggage caused by them obviously and they just try to get away with it."
"✅ Trip Verified |  A delay in the return flight (2,5 hours) was absolutely poorly handled, no reason given, at the booth the rude personel were not willing to give any contact information. On contacting them by E-mail to request a certificate for the delay, I got a ridiculous standard E-mail back. "
"Not Verified |  Our flight was delayed 3 times. We got stuck in the airport for hours with no notification. Avoid Pegasus Airlines at all cost. First and last time flying with them."
"Not Verified |  Worst airline, was a horrible experience. It’s the first and definitely the last time!!! I had 2 flights with this airline and both were late. They don't even offer water. The staff only speak Turkish, no smile, not welcoming! I recommend to everyone, please you can pay a bit more to have a better airline."
"✅ Trip Verified |   Pegasus is amongst my favorite low-cost airlines anywhere. Never been disappointed yet. Outstanding cabin crew. Satisfactory food and drink selection. Punctual take-off and landing. Ground crew needs a little improvement. Overall: Great value. Easily recommended."
"✅ Trip Verified | Terrible experience with this airline. Arrived 2.5h before to the check in counter, they took 1:45h to do the check in, they were super unprofessional. Had to run and go through a lot of trouble to be able to catch the flight. Terrible experience. Better to pay more and be safe."
"✅ Trip Verified | We took a flight from London to Dubai and had to change a flight in Istanbul. The flight departed late by 50 minutes. The staff made no effort to welcome any passengers onboard. On the way I asked for a glass of water and was refused, was told pay £2 and buy a bottle. A totally unprofessional staff with no basic knowledge of how to treat their customers. Again the flight that we took from Istanbul was delayed by 25 minutes. On reaching Dubai we found one of our luggage was missing. It was not loaded from Istanbul, and were told it will come after 24 hours. DONT EVEN TRAVEL FOR FREE ON THIS AIRLINE."
"Not Verified |  I am not complaining about the flights although there seems to be more and more delays. I find the Pegasus customer service about as low as you can go, they don't seem to understand basic English and the response time is catastrophic. Their so called special offers for discounts are non existent."
