"Reviews","Reviews' Score","Sentiments"
" Firstly late due operations issues makes miss transfer If flying make hours wait Gokce matter late I flew times honestly worth They pretend cheaper airline sitting adding luggage price pay good airline trust worth So time wasted stress They pathetic people lie time I flew November due operations problem late Karachi Airport hours I missed connection Istanbul London What gave flight day pay visa fees give hotel transfer They write refund money Pathetic people lied face gave compensation Now writing fault Come shameless rip airline",-3.6,"1) Very negative"
" I Pegasus travel Turkey Iran I member I experience problem exception year Long delay ways In fact recent return trip Tehran awful long delay Tehran caused lose connection flight Istanbul London luggage put flight London I add staff Pegasus air crew wonderful helpful",-1,"1) Very negative"
" Due war present month ago flight supposed leave Tel Aviv October Manchester cancelled In end I book extremely expensive flight single order return I Pegasus flight Pegasus refund ticket cancelled stated website email flight refunded word whatsoever Additionally barely reachable lot links website dont direct making hard live agent assistance I highly doubt I flying Pegasus experience proved extremely unreliable",-0.55,"1) Very negative"
" I option EasyJet SunExpress Pegasus route All similarly priced So glad I chose Pegasus The crew super friendly comfortable seats food unusually good included WiFientertainment flight time Couldnt budget carrier Excellent I flew return leg easyJet crew average seats tight food poor",4.8,"5) Very positive"
" Worst experience I written reviews airlines experience bad I First flight hours delayed I wait Istanbul airport worst Ive life That made loose connection Bruxelles So I buy tickets Bruxelles Since insurance company documentation delay I calling customer service documentation I talked times give basic piece documentation doesnt cost airline I experienced bad customer service life The customer service reps barely speak English",-2.65,"1) Very negative"
"   They delayed hour minutes minutes landed minutes flight responsibility excuses representatives unprofessional rude",-2.75,"1) Very negative"
" The pram son arrived damaged flight Ankara Manchester UK unrepairable mechanism shattered broken Made claim airport claim Pegasus requested footage Came back excuse time pay back It weeks I son Worse customer service I experienced By law fully responsible damaged luggage caused ",-2.1,"1) Very negative"
" A delay return flight hours absolutely poorly handled reason booth rude give contact information On contacting Email request certificate delay I ridiculous standard Email back ",-0.75,"1) Very negative"
" Our flight delayed times We stuck airport hours notification Avoid Pegasus Airlines cost First time flying ",-1.4,"1) Very negative"
" Worst airline horrible experience Its time I flights airline late They dont offer water The staff speak Turkish smile welcoming I recommend pay bit airline",-0.25,"2) Negative"
" Pegasus favorite lowcost airlines Never disappointed Outstanding cabin crew Satisfactory food drink selection Punctual takeoff landing Ground crew improvement Overall Great Easily recommended",4.75,"5) Very positive"
" Terrible experience airline Arrived check counter check super unprofessional Had run lot trouble catch flight Terrible experience Better pay safe",-0.05,"2) Negative"
" We flight London Dubai change flight Istanbul The flight departed late minutes The staff made effort passengers onboard On I asked glass water refused told pay buy bottle A totally unprofessional staff basic knowledge treat customers Again flight Istanbul delayed minutes On reaching Dubai found luggage missing It loaded Istanbul told hours EVEN TRAVEL FOR FREE ON THIS AIRLINE",-1.9,"1) Very negative"
" I complaining flights delays I find Pegasus customer service low dont understand basic English response time catastrophic Their called special offers discounts existent",-1.5,"1) Very negative"
" Horrible This airline operate flight delay This flight past weeks delayed Insufficient rude staff Amateur service This cheapest airline avoid Your plans delayed pay extra Avoid Pegasus Airlines",-3.45,"1) Very negative"
" Worst airline All flights I flights total late hour No food comfort service Its taking bus Talking staff nightmare barely spoke language turkish",-0.35,"2) Negative"
"  Departure Germany Turkey hour delayed plane Turkey minutes delayed We asked flight Istanbul Beirut pay extra bag carry mattet The problem airflight company flight Germany Turkey demanded pay explain difference rules talking company flights day I receipt made question legetimacy One employee wanted put label bag tag plastic bag biscuits personal property purse I pay rule I doubt exist exists mistreatment ",-2.6,"1) Very negative"
" Even low budget airline crew entering plane crew member simple stood entrance arms crossed Seemed unwelcome Most staff unfriendly smile Unfortunately choice Pegasus fly Berlin fast rudeness make choose longer time",-1.1,"1) Very negative"
